Line,Smell,Number of Parameters,Threshold,File
204,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/util/WebUtilsTests.java
102,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/cors/reactive/CorsUtilsTests.java
164,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/client/AbstractMockWebServerTests.java
177,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/client/AbstractMockWebServerTests.java
299,long parameters,11,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/method/annotation/RequestHeaderMethodArgumentResolverTests.java
349,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/method/annotation/ModelAttributeMethodProcessorTests.java
207,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/method/annotation/RequestParamMapMethodArgumentResolverTests.java
654,long parameters,21,5,../input_projects/java_projects/spring-framework/spring-web/src/test/java/org/springframework/web/method/annotation/RequestParamMethodArgumentResolverTests.java
130,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/testFixtures/java/org/springframework/web/testfixture/servlet/MockPageContext.java
76,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-web/src/testFixtures/java/org/springframework/web/testfixture/http/server/reactive/MockServerHttpRequest.java
61,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/context/support/ServletRequestHandledEvent.java
86,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/context/support/ServletRequestHandledEvent.java
112,long parameters,10,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/context/support/ServletRequestHandledEvent.java
131,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/util/HierarchicalUriComponents.java
150,long parameters,9,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/util/HierarchicalUriComponents.java
115,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/server/adapter/DefaultServerWebExchange.java
101,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/HttpStatusCodeException.java
62,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/UnknownHttpStatusCodeException.java
61,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/UnknownContentTypeException.java
96,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/HttpClientErrorException.java
74,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/HttpClientErrorException.java
60,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/RestClientResponseException.java
95,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/HttpServerErrorException.java
74,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/web/client/HttpServerErrorException.java
707,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/RequestEntity.java
86,long parameters,8,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/ContentDisposition.java
166,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/ServerSentEventHttpMessageWriter.java
193,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/ServerSentEventHttpMessageWriter.java
191,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/ResourceHttpMessageWriter.java
239,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/json/Jackson2Tokenizer.java
251,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/json/AbstractJackson2Encoder.java
103,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/multipart/PartGenerator.java
88,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/multipart/PartGenerator.java
106,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/HttpMessageWriter.java
209,long parameters,7,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/codec/EncoderHttpMessageWriter.java
134,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/server/reactive/JettyHttpHandlerAdapter.java
77,long parameters,6,5,../input_projects/java_projects/spring-framework/spring-web/src/main/java/org/springframework/http/server/reactive/ServletServerHttpResponse.java
