Line,Smell,Number of Parameters,Threshold,File
91,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/fileinput.py
197,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/fileinput.py
930,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
945,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1043,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1158,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1242,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1711,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1896,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
1943,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/difflib.py
445,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
526,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
707,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
863,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
1319,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/pydoc.py
3782,long parameters,10,5,../input_projects/multi_projects/jython/lib-python/2.7/decimal.py
173,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/random.py
243,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/random.py
116,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/ftplib.py
455,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/ftplib.py
643,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/ftplib.py
741,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/ftplib.py
790,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/optparse.py
1190,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/optparse.py
384,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/xml/sax/expatreader.py
309,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/xml/dom/expatbuilder.py
440,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/xml/dom/expatbuilder.py
1742,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/xml/dom/minidom.py
787,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/xml/etree/ElementTree.py
41,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/repr.py
452,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/Cookie.py
436,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/threading.py
129,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/pprint.py
334,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/calendar.py
371,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/calendar.py
641,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/inspect.py
844,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/inspect.py
870,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/inspect.py
371,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/wsgiref/handlers.py
854,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/pickletools.py
65,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/json/decoder.py
149,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/json/decoder.py
303,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/json/decoder.py
122,long parameters,13,5,../input_projects/multi_projects/jython/lib-python/2.7/json/__init__.py
193,long parameters,12,5,../input_projects/multi_projects/jython/lib-python/2.7/json/__init__.py
257,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/json/__init__.py
293,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/json/__init__.py
101,long parameters,10,5,../input_projects/multi_projects/jython/lib-python/2.7/json/encoder.py
271,long parameters,22,5,../input_projects/multi_projects/jython/lib-python/2.7/json/encoder.py
696,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/ConfigParser.py
230,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/robotparser.py
119,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/test/test_all.py
265,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/test/test_all.py
288,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/test/test_all.py
245,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/test/test_replication.py
248,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/test/test_replication.py
353,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/__init__.py
369,long parameters,9,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/__init__.py
387,long parameters,11,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/__init__.py
159,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/dbtables.py
101,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/bsddb/dbshelve.py
68,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/ensurepip/__init__.py
21,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/compileall.py
74,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/csv.py
124,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/csv.py
1562,long parameters,8,5,../input_projects/multi_projects/jython/lib-python/2.7/xmlrpclib.py
436,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
497,long parameters,7,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
636,long parameters,6,5,../input_projects/multi_projects/jython/lib-python/2.7/doctest.py
