Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
7,long class,512,200,39,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_compile.py
42,long class,554,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_shutil.py
17,long class,303,200,32,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bsddb.py
100,long class,179,200,30,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_sys_setprofile.py
39,long class,353,200,19,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_import.py
73,long class,592,200,48,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_subprocess.py
726,long class,421,200,35,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_subprocess.py
58,long class,324,200,27,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_zipimport.py
48,long class,412,200,39,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_mailbox.py
498,long class,347,200,24,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_mailbox.py
1491,long class,247,200,19,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_mailbox.py
166,long class,327,200,19,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
534,long class,606,200,36,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
1148,long class,535,200,42,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
1688,long class,302,200,23,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
1995,long class,156,200,25,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
2155,long class,243,200,13,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
2403,long class,603,200,31,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
3078,long class,240,200,11,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_datetime.py
19,long class,202,200,22,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_peepholer.py
190,long class,226,200,9,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_file2k.py
436,long class,169,200,37,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_file2k.py
39,long class,348,200,28,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_audioop.py
36,long class,578,200,52,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bigmem.py
754,long class,295,200,30,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_bigmem.py
909,long class,450,200,23,20,../input_projects/multi_projects/jython/lib-python/2.7/test/test_ssl.py
