Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
29,long class,209,200,6,20,../input_projects/multi_projects/wagtail/wagtail/actions/publish_revision.py
38,long class,1064,200,101,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
1277,long class,439,200,27,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_pages.py
12,long class,351,200,37,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_images.py
89,long class,274,200,34,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/tests.py
12,long class,348,200,37,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/tests/test_documents.py
37,long class,375,200,25,20,../input_projects/multi_projects/wagtail/wagtail/api/v2/views.py
15,long class,265,200,15,20,../input_projects/multi_projects/wagtail/wagtail/documents/tests/test_document_chooser.py
476,long class,245,200,13,20,../input_projects/multi_projects/wagtail/wagtail/documents/tests/test_admin_views.py
883,long class,353,200,15,20,../input_projects/multi_projects/wagtail/wagtail/documents/tests/test_admin_views.py
1272,long class,297,200,8,20,../input_projects/multi_projects/wagtail/wagtail/documents/tests/test_admin_views.py
